phase,priority,site_num,domain,city,image_path,dimensions,file_size_target,unique,visual_description,status,notes
"1 — Generic (create ONCE, copy to all 50 sites)",29,ALL,ALL 50 SITES,Generic — no city text,images/services/spa-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Spa jet fitting — gasket inspection. Technician with screwdriver.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",30,ALL,ALL 50 SITES,Generic — no city text,images/services/hot-tub-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Hot tub cabinet panel open — pump union and plumbing bundle visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",31,ALL,ALL 50 SITES,Generic — no city text,images/services/sprinkler-system-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Sprinkler head in lawn with water pooling at base from lateral leak.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",32,ALL,ALL 50 SITES,Generic — no city text,images/services/irrigation-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Drip irrigation system — wet soil patch between emitters.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",33,ALL,ALL 50 SITES,Generic — no city text,images/services/yard-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Dry yard with isolated wet muddy patch. Technician probing soil with rod.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",34,ALL,ALL 50 SITES,Generic — no city text,images/services/crawl-space-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,"Crawl space interior — moisture on vapor barrier, wet insulation.",TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",35,ALL,ALL 50 SITES,Generic — no city text,images/services/basement-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Basement floor — standing water near foundation wall corner.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",36,ALL,ALL 50 SITES,Generic — no city text,images/services/basement-water-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Basement block wall — water staining and white efflorescence deposits.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",37,ALL,ALL 50 SITES,Generic — no city text,images/services/residential-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Technician with acoustic equipment in residential living space.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",38,ALL,ALL 50 SITES,Generic — no city text,images/services/commercial-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Commercial hallway or utility room — detection equipment in use.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",39,ALL,ALL 50 SITES,Generic — no city text,images/services/whole-house-repipe-service.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,New PEX tubing color-coded running through exposed wall framing.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",40,ALL,ALL 50 SITES,Generic — no city text,images/services/garbage-disposal-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Under-sink cabinet — garbage disposal flange drip at sink connection.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",41,ALL,ALL 50 SITES,Generic — no city text,images/services/dishwasher-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Dishwasher pulled forward from cabinet — water stain on floor beneath.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",42,ALL,ALL 50 SITES,Generic — no city text,images/services/washing-machine-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Washing machine supply hose connection at wall valve. Hose clamp visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",43,ALL,ALL 50 SITES,Generic — no city text,images/services/acoustic-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Technician wearing headphones holding acoustic ground microphone on floor.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",44,ALL,ALL 50 SITES,Generic — no city text,images/services/helium-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Helium detector probe (wand) being swept slowly over ground surface.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",45,ALL,ALL 50 SITES,Generic — no city text,images/services/electronic-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,"Electronic leak detection unit — digital display panel, contact probe.",TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",46,ALL,ALL 50 SITES,Generic — no city text,images/services/ultrasonic-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Ultrasonic sensor aimed at wall. Frequency display visible on unit.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",47,ALL,ALL 50 SITES,Generic — no city text,images/services/thermal-imaging-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Infrared thermal camera — display shows temperature map of floor/wall.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",48,ALL,ALL 50 SITES,Generic — no city text,images/services/tracer-gas-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Gas detector probe over ground — nitrogen/hydrogen tracer equipment.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",49,ALL,ALL 50 SITES,Generic — no city text,images/services/sonar-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Sonar detection unit connected at pipe access port. Readout visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",50,ALL,ALL 50 SITES,Generic — no city text,images/services/pinpoint-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Technician marking floor with chalk after acoustic probe confirmation.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",51,ALL,ALL 50 SITES,Generic — no city text,images/services/non-invasive-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Technician scanning wall surface — no cuts or damage to drywall.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",52,ALL,ALL 50 SITES,Generic — no city text,images/services/trenchless-leak-detection.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Pipe camera sonde equipment. Locator receiver on ground above pipe.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",53,ALL,ALL 50 SITES,Generic — no city text,images/services/shower-pan-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Shower drain plugged with test plug. Flood test water level marked on wall.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",54,ALL,ALL 50 SITES,Generic — no city text,images/services/toilet-tank-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,"Toilet tank lid removed — flapper, fill valve, and overflow tube visible.",TODO,No city name or text overlay. Generic plumbing photography.
2 — Hero (one per site),1,01,puebloleakrepairpros.com,Pueblo,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Pueblo, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),2,02,coloradospringsleak repairpros.com,Colorado Springs,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Colorado Springs, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),3,03,denverleak repairpros.com,Denver,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Denver, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),4,04,auroraleak repairpros.com,Aurora,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Aurora, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),5,05,ftcollinsleak repairpros.com,Fort Collins,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Fort Collins, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),6,06,lakewoodleak repairpros.com,Lakewood,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Lakewood, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),7,07,thorntonleak repairpros.com,Thornton,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Thornton, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),8,08,arvadaleak repairpros.com,Arvada,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Arvada, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),9,09,westminsterleak repairpros.com,Westminster,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Westminster, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),10,10,centennialleak repairpros.com,Centennial,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Centennial, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),11,11,highlandsranchleak repairpros.com,Highlands Ranch,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Highlands Ranch, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),12,12,boulderleak repairpros.com,Boulder,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Boulder, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),13,13,greeleyleak repairpros.com,Greeley,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Greeley, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),14,14,longmontleak repairpros.com,Longmont,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Longmont, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),15,15,lovelandleak repairpros.com,Loveland,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Loveland, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),16,16,broomfieldleak repairpros.com,Broomfield,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Broomfield, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),17,17,castlerockleak repairpros.com,Castle Rock,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Castle Rock, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),18,18,parkerleak repairpros.com,Parker,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Parker, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),19,19,commercecityleak repairpros.com,Commerce City,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Commerce City, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),20,20,northglennleak repairpros.com,Northglenn,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Northglenn, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),21,21,brightonleak repairpros.com,Brighton,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Brighton, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),22,22,lakeforestleak repairpros.com,Dacono,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Dacono, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),23,23,sterlingleak repairpros.com,Sterling,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Sterling, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),24,24,canoncityleak repairpros.com,Canon City,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Canon City, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),25,25,montroseleak repairpros.com,Montrose,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Montrose, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),26,26,deltaleak repairpros.com,Delta,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Delta, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),27,27,grandjunctionleak repairpros.com,Grand Junction,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Grand Junction, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),28,28,durangoleak repairpros.com,Durango,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Durango, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),29,29,pagosasprings leak repairpros.com,Pagosa Springs,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Pagosa Springs, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),30,30,alamosaleak repairpros.com,Alamosa,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Alamosa, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),31,31,lajuntaleak repairpros.com,La Junta,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. La Junta, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),32,32,lamarleak repairpros.com,Lamar,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Lamar, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),33,33,trinidadleak repairpros.com,Trinidad,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Trinidad, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),34,34,walsenburgleak repairpros.com,Walsenburg,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Walsenburg, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),35,35,florenceleakrepairpros.com,Florence,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Florence, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),36,36,salidaleak repairpros.com,Salida,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Salida, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
2 — Hero (one per site),37,37,buenavistaleakrepairpros.com,Buena Vista,images/hero/hero-bg.jpg,1200 x 600 px,< 200 KB,YES — per site,"Plumber/technician with detection equipment. Buena Vista, CO setting or generic. Dark gradient overlay compatible (text will overlay this image).",TODO,Dark left-side gradient applied in CSS — image should work with white text overlay.
